V5tuZO_full_1,VgN0py_full_2,VxdTq9_full_3,Vvzrku_coarse_4,Ve1E8G_fines_4,VhYGsm_full_5,Vwjyj6_full_6,V2fwdz_full_7,VT8REu_full_8
536.414136395624,572.904963080866,614.35853825405,659.294033161261,659.294033161261,708.316750652742,760.784374785106,795.99948908886,1111.97217151209
100,100,100,20,80,100,100,100,100
78,83,3,3,6,2,63,4,4
66,25,33,26,7,35,25,2,87
50,25,4,2,9,70,4,9,63
56,30,60,6,9,30,76,6,23
53,28,5,6,10,7,4,60,9
80,13,6,36,12,7,62,53,89
88,23,56,6,12,72,93,70,23
5,38,9,60,13,8,33,8,100
78,58,22,7,17,20,36,28,90
10,87,40,72,18,20,7,6,67
28,26,26,23,18,28,27,39,108
44,89,92,1,20,29,1,90,7
27,72,1,65,21,53,26,69,75
40,60,1,8,22,3,8,85,40
203,65,29,78,23,98,9,25,22
7,36,4,2,24,23,59,75,27
24,36,73,2,25,73,2,30,20
35,24,30,26,25,56,60,52,83
23,8,3,132,25,36,5,65,22
40,63,82,2,28,35,2,36,40
100,68,240,22,28,25,41,80,2
26,44,26,6,28,28,3,19,60
23,36,78,58,29,7,33,56,25
50,63,119,47,31,30,30,50,3
50,28,54,8,32,35,105,122,0
37,21,19,63,32,25,48,54,26
94,3,82,2,32,127,33,156,15
4,30,54,6,32,110,1,83,57
91,39,68,3,33,46,83,42,17
55,18,77,17,34,30,9,52,32
178,103,53,61,36,59,70,108,47
143,27,110,52,36,42,22,69,55
74,98,90,87,36,176,35,122,33
45,34,41,51,37,114,45,68,111
103,26,24,125,37,92,48,48,40
53,16,60,82,38,32,31,73,31
32,22,100,55,38,31,17,63,33
79,47,98,27,39,75,79,15,25
13,42,49,43,40,16,12,85,49
39,119,112,94,40,22,67,52,27
115,31,52,72,42,89,81,48,25
84,43,28,91,42,78,62,63,55
42,60,80,80,42,85,93,63,28
122,31,103,16,43,88,27,79,41
27,47,173,112,43,32,65,100,78
31,52,16,82,45,61,203,23,18
15,70,84,11,46,45,59,111,57
33,73,28,61,46,65,63,47,52
26,203,85,74,48,42,56,45,31
112,52,106,113,48,88,58,35,17
24,41,17,56,48,68,61,45,17
22,44,100,57,48,90,66,66,12
23,145,99,73,48,13,42,116,35
47,42,48,95,50,68,81,52,54
82,107,11,96,51,22,106,24,49
40,74,215,63,51,15,42,33,80
48,21,27,113,52,32,95,45,49
18,130,22,64,52,130,56,18,19
42,230,142,112,53,51,85,100,63
69,57,105,66,53,40,55,53,45
112,46,60,62,53,82,71,100,15
148,63,60,85,54,115,60,42,72
95,64,78,58,54,17,42,44,51
18,25,15,118,55,48,12,33,47
75,54,268,103,55,28,44,46,152
29,105,43,45,55,43,137,94,69
29,95,63,115,56,14,43,90,48
60,13,85,82,57,45,63,41,54
88,154,143,61,59,67,123,87,58
13,61,87,12,61,83,62,72,81
73,46,72,64,62,58,37,14,42
12,77,69,94,62,138,60,51,71
23,48,10,85,65,122,36,75,18
61,212,142,173,67,113,56,164,113
50,46,21,102,67,18,48,42,33
83,62,60,56,68,96,125,120,10
36,44,40,117,70,18,23,60,96
112,44,75,76,71,68,60,95,24
62,35,98,17,72,132,67,42,62
55,19,123,115,73,79,36,35,42
21,122,35,33,75,89,38,48,31
75,90,34,95,76,172,142,85,34
84,152,27,61,77,148,139,25,16
115,67,55,75,78,112,84,36,72
100,83,14,119,78,110,70,22,38
44,127,100,45,78,64,22,94,18
16,101,48,18,79,67,35,52,34
19,37,68,105,82,54,52,63,52
27,126,22,50,83,87,12,112,95
61,32,87,74,85,125,48,32,50
48,94,43,105,90,168,25,11,25
40,58,148,105,93,118,48,51,68
195,20,178,93,93,67,40,34,18
103,82,18,185,93,139,52,88,56
33,16,82,93,96,72,18,41,163
104,305,108,97,96,53,231,16,60
43,14,45,112,99,22,94,63,142
78,30,58,52,106,67,35,119,42
48,43,47,110,108,186,43,10,146
205,138,104,135,112,42,29,53,100
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
