 ,Area,Mean,Min,Max,Angle,Length
1,22.336,115.128,39.861,200.653,50.477,83.248
2,9.736,126.688,48.996,188.667,69.146,36.076
3,12.743,134.052,51.521,204.671,80.218,47.243
4,20.403,154.948,46.188,197.815,83.928,75.879
5,23.911,100.338,40.333,171.272,-113.334,89.167
6,22.121,113.586,58.215,156.493,83.290,82.439
7,15.177,118.951,60.000,161.779,85.101,56.394
8,28.636,112.104,45.734,186.374,96.911,106.731
9,12.099,172.953,109.000,205.667,90.000,44.951
10,10.953,130.275,64.492,168.798,-80.910,40.645
11,6.586,151.402,113.414,171.602,113.199,24.452
12,11.096,133.164,38.260,189.461,103.496,41.274
13,8.519,168.486,113.168,206.491,104.744,31.541
14,11.096,147.568,87.306,206.202,166.504,41.274
15,14.032,130.826,40.946,175.666,100.620,52.267
16,9.164,160.638,76.716,201.257,-70.710,34.017
17,10.381,107.781,64.000,175.000,41.634,38.663
18,8.233,104.637,59.387,151.940,71.565,30.460
19,5.083,101.330,28.046,141.980,120.964,18.722
20,3.794,141.906,67.992,203.391,125.538,13.810
21,22.909,123.691,27.349,201.618,48.814,85.327
22,12.815,183.255,108.869,221.534,-78.311,47.542
23,12.958,119.401,76.167,169.573,68.552,48.295
24,12.027,170.517,49.279,225.824,75.466,44.778
25,5.656,158.802,114.923,200.385,85.601,20.932
26,15.965,75.888,37.000,181.000,-90.000,59.399
27,12.958,95.471,42.409,209.840,-158.552,48.295
28,19.687,149.329,24.333,215.582,79.919,73.375
29,11.454,115.789,88.379,179.882,-109.799,42.656
30,7.159,96.217,39.788,138.848,-165.964,26.477
31,14.748,79.046,38.332,152.585,105.255,54.913
32,13.244,150.342,42.667,208.004,-101.310,49.115
33,11.956,131.465,53.079,220.848,-115.641,44.519
34,12.027,130.961,74.459,178.845,75.466,44.778
35,10.953,148.606,38.333,213.637,71.565,40.613
36,2.506,114.307,56.333,164.175,-45.000,9.081
37,11.884,113.452,22.173,176.997,70.907,44.170
38,5.656,139.174,65.509,184.970,122.471,20.932
39,9.593,113.990,59.951,192.856,54.162,35.645
40,7.803,174.560,60.383,208.111,-70.560,28.941
41,15.678,151.299,55.333,204.326,52.815,58.437
42,5.799,154.019,73.500,205.320,63.435,21.538
43,8.734,96.236,74.889,125.208,-98.531,32.467
44,14.604,123.372,71.403,157.013,124.160,54.323
45,9.951,89.391,42.000,152.000,90.000,36.924
46,23.124,109.709,37.980,180.287,61.049,86.229
47,14.103,136.101,45.667,184.399,139.970,52.415
48,3.508,139.662,94.167,177.833,82.875,12.943
49,6.515,152.084,53.000,207.000,-90.000,24.081
50,3.723,128.378,58.000,190.581,-69.444,13.716
51,2.792,98.953,26.845,173.948,141.340,10.279
52,8.090,112.575,18.811,185.494,53.746,29.862
53,15.320,76.445,50.951,125.378,-40.426,56.940
54,7.875,174.886,36.333,208.885,-80.538,29.295
55,10.667,139.191,26.654,199.497,75.964,39.715
56,0.501,169.143,93.333,193.667,90.000,1.605
57,12.528,114.427,14.515,179.285,46.397,46.556
58,13.602,158.869,79.000,210.626,79.046,50.690
59,3.580,125.546,24.630,196.571,104.036,13.238
60,19.043,104.732,49.122,157.113,84.806,70.928
61,15.607,91.338,35.839,160.339,104.421,58.016
62,1.647,81.179,39.904,145.292,-123.690,5.788
63,9.164,101.045,31.750,164.775,-109.290,34.017
64,6.157,88.449,19.537,181.939,50.711,22.817
65,2.362,100.476,76.958,130.539,-21.801,8.645
66,8.519,148.622,55.886,200.002,104.744,31.541
67,3.508,151.804,15.333,185.333,-97.125,12.943
68,3.723,104.876,23.235,200.952,-110.556,13.716
69,11.956,128.936,30.173,216.706,-102.529,44.403
70,9.951,78.279,21.783,134.565,92.490,36.959
71,8.806,88.821,29.125,158.352,-78.690,32.743
72,7.732,140.707,36.830,191.326,63.435,28.718
73,27.204,104.881,27.673,163.401,-66.682,101.394
74,5.441,104.995,44.432,138.755,118.610,20.115
75,11.025,122.277,21.948,205.446,30.579,41.024
76,14.175,84.928,19.963,163.337,-121.264,52.587
77,5.083,123.611,84.286,187.827,59.036,18.722
78,9.951,112.172,24.667,174.213,124.380,36.959
79,23.338,91.991,51.015,166.066,-73.909,86.884
80,23.267,154.214,25.407,217.111,93.180,86.824
81,10.882,141.815,48.333,185.330,123.690,40.518
82,9.522,126.617,26.333,202.562,-140.528,35.355
83,23.768,117.224,29.333,200.392,46.469,88.573
84,9.879,115.425,37.763,168.715,52.125,36.608
85,9.951,93.221,54.667,151.333,90.000,36.924
86,3.508,168.952,83.000,214.729,60.255,12.943
87,7.803,124.581,32.333,190.333,90.000,28.897
88,7.445,79.179,15.729,118.996,-83.290,27.480
89,16.036,87.783,40.158,151.405,66.194,59.659
90,15.320,104.128,16.780,176.514,99.728,57.008
91,6.658,73.267,56.667,92.955,58.392,24.505
92,3.436,162.626,86.619,218.001,-140.194,12.538
93,17.468,132.707,25.765,193.654,57.095,65.013
94,8.662,152.092,61.000,203.785,162.474,31.987
95,25.128,93.556,46.485,158.932,39.428,93.526
96,5.226,114.393,36.667,146.333,-114.444,19.398
97,27.562,96.953,9.000,194.833,89.105,102.757
98,11.311,61.497,18.059,148.785,-72.255,42.139
99,3.937,153.087,47.889,217.593,173.660,14.537
100,4.653,94.975,43.667,135.641,-41.186,17.065
